City,Type,Area,Price,Purpose,Location,Built in year,Electricity Backup,Floors,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Lawn or Garden,Luxury_Score
Karachi,Flat,128 Sq. Yd.,"PKR
4.75 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,2,2,,,,0
Karachi,Flat,161 Sq. Yd.,"PKR
6.25 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,2,3,,1.0,,0
Karachi,Flat,111 Sq. Yd.,"PKR
3.45 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,1,2,,,,0
Karachi,Flat,106 Sq. Yd.,"PKR
2.98 Crore",For Sale,"DHA Defence, Karachi, Sindh",2.0,0.0,,1,2,1.0,4.0,,0
Karachi,Flat,156 Sq. Yd.,"PKR
4.65 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,2,2,,,,0
Karachi,Flat,217 Sq. Yd.,"PKR
2.6 Crore",For Sale,"Jinnah Avenue, Karachi, Sindh",2024.0,0.0,,3,3,1.0,2.0,,0
Karachi,House,240 Sq. Yd.,"PKR
6.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2008.0,0.0,,9,6,,3.0,,0
Karachi,House,200 Sq. Yd.,"PKR
1.68 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,,3,3,,,,0
Karachi,House,300 Sq. Yd.,"PKR
8 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2025.0,0.0,,6,6,,2.0,,0
Karachi,Flat,189 Sq. Yd.,"PKR
4.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,,3,3,1.0,1.0,,0
Karachi,House,131 Sq. Yd.,"PKR
5.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,2,3,,,,0
Karachi,House,131 Sq. Yd.,"PKR
4.65 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,2.0,2,3,,2.0,,0
Karachi,Flat,106 Sq. Yd.,"PKR
1.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",2015.0,0.0,,2,2,1.0,2.0,,0
Karachi,House,250 Sq. Yd.,"PKR
10.5 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,0.0,,5,6,,,,0
Karachi,Upper Portion,200 Sq. Yd.,"PKR
4.5 Crore",For Sale,"Jamshed Town, Karachi, Sindh",2013.0,0.0,2.0,4,5,1.0,1.0,,0
Karachi,House,250 Sq. Yd.,"PKR
7.5 Crore",For Sale,"Bath Island, Karachi, Sindh",15.0,0.0,1.0,4,4,1.0,1.0,,0
Karachi,Flat,178 Sq. Yd.,"PKR
3.95 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,,3,3,2.0,1.0,,0
Karachi,Flat,161 Sq. Yd.,"PKR
5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,,1,2,,1.0,,0
Karachi,Flat,211 Sq. Yd.,"PKR
3.9 Crore",For Sale,"Clifton, Karachi, Sindh",15.0,0.0,,3,3,,1.0,,0
Karachi,Flat,222 Sq. Yd.,"PKR
3.6 Crore",For Sale,"Bath Island, Karachi, Sindh",12.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,189 Sq. Yd.,"PKR
3.45 Crore",For Sale,"Clifton, Karachi, Sindh",15.0,0.0,,3,3,,1.0,,0
Karachi,Flat,222 Sq. Yd.,"PKR
3.4 Crore",For Sale,"Frere Town, Karachi, Sindh",20.0,0.0,,2,3,1.0,1.0,,0
Karachi,Flat,222 Sq. Yd.,"PKR
4.6 Crore",For Sale,"Clifton, Karachi, Sindh",25.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,262 Sq. Yd.,"PKR
10.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,3,5,,,,0
Karachi,Flat,370 Sq. Yd.,"PKR
5.75 Crore",For Sale,"Rashid Minhas Road, Karachi, Sindh",2022.0,0.0,,4,5,1.0,1.0,,0
Karachi,Flat,98 Sq. Yd.,"PKR
3.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2029.0,0.0,,1,2,,1.0,,0
Karachi,Flat,157 Sq. Yd.,"PKR
5.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2028.0,0.0,,1,2,1.0,2.0,,0
Karachi,Flat,178 Sq. Yd.,"PKR
6.3 Crore",For Sale,"DHA Defence, Karachi, Sindh",2010.0,0.0,,2,4,1.0,1.0,,0
Karachi,House,111 Sq. Yd.,"PKR
3.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,2.0,1,2,,,,0
